title,open,rev,budget,ad,rating,scrn,sequel
13 GOING ON 30,4/23/2004,69540400,44957472,36712516,6.1,1229,NoSeq
16 BLOCKS,3/3/2006,42021800,51252848,30141800,6.7,1042,NoSeq
2 FAST 2 FURIOUS,6/6/2003,158745200,94881400,47201120,5,1073,Seq
21 GRAMS,11/21/2003,20337672,24968790,12344444,7.9,193,NoSeq
28 DAYS LATER,6/27/2003,56260816,9987516,13260048,7.6,521,NoSeq
40 YEAR OLD VIRGIN,8/19/2005,128612496,30552292,34547592,7.5,1375,NoSeq
50 FIRST DATES,2/13/2004,146911392,91130016,41600756,6.8,1140,NoSeq
A CINDERELLA STORY,7/16/2004,62500820,23086270,26213366,5.4,925,NoSeq
A GUY THING,1/17/2003,19407530,24968790,15300874,5.5,682,NoSeq
A HISTORY OF VIOLENCE,9/23/2005,37020720,37602820,24147354,7.5,411,NoSeq
A LOT LIKE LOVE,4/22/2005,25670646,35252644,21556168,6.4,867,NoSeq
A MAN APART,4/4/2003,33378400,44943820,20019476,5.7,847,NoSeq
A MIGHTY WIND,4/16/2003,22198510,7490637,22812610,7.1,243,NoSeq
A PRAIRIE HOME COMPANION,6/9/2006,23169536,11389522,11733028,6.9,315,NoSeq
ACCEPTED,8/18/2006,41370736,26195900,23394190,5,1586,NoSeq
AEON FLUX,12/2/2005,30404626,72855464,16809046,5.4,941,NoSeq
AFTER THE SUNSET,11/12/2004,34424340,72904008,38695256,6.2,973,NoSeq
AGENT CODY BANKS,3/14/2003,59848104,34956304,26723596,5.1,1009,NoSeq
AGENT CODY BANKS 2,3/12/2004,28712222,31591738,18595746,4.1,1186,NoSeq
AKEELAH AND THE BEE,4/28/2006,21467460,9111617,13818680,6.4,671,NoSeq
ALAMO,4/9/2004,27235676,130012152,35062332,5.9,624,NoSeq
ALEX AND EMMA,6/20/2003,17751184,37453184,28674906,5.4,789,NoSeq
ALEXANDER,11/24/2004,41673380,188335360,42647508,5.4,854,NoSeq
ALFIE,11/5/2004,16281667,72904008,28062940,6.1,639,NoSeq
ALIEN VS PREDATOR,8/13/2004,97548272,72904008,15337666,5.4,922,Seq
ALONG CAME POLLY,1/16/2004,107043944,51032808,41346772,5.8,1230,NoSeq
AMERICAN WEDDING,8/1/2003,130543216,68664168,33030586,6.2,1267,Seq
AMITYVILLE HORROR,4/15/2005,76654960,22326674,20821854,5.8,2400,Seq
AN AMERICAN HAUNTING,5/5/2006,18562694,15945330,6912643,7.6,545,NoSeq
AN INCONVENIENT TRUTH,5/24/2006,27501322,1138952,9080409,4.9,237,NoSeq
ANACONDAS THE HUNT FOR THE BLOOD ORCHID,8/27/2004,39172444,24301336,14076913,4.3,1478,NoSeq
ANCHORMAN,7/9/2004,103630984,31591738,34302308,7,1728,NoSeq
ANGER MANAGEMENT,4/11/2003,169345600,93632960,45418724,6,1477,NoSeq
ANNAPOLIS,1/27/2006,19507964,29612756,9463439,7.9,502,NoSeq
ANT BULLY,7/28/2006,32053002,56947608,28427794,6.2,713,NoSeq
APOCALYPTO,12/8/2006,57934664,45558088,23569818,5.2,891,NoSeq
AQUAMARINE,3/3/2006,21181482,13667426,14399202,7.9,760,NoSeq
ARE WE THERE YET,1/21/2005,97149704,37602820,28405054,4.2,1151,NoSeq
AROUND THE WORLD IN 80 DAYS,6/16/2004,29171490,133657352,36234628,5.6,645,NoSeq
ARTHUR AND THE INVISIBLES,12/29/2006,17235494,97949888,19409112,5.9,579,NoSeq
ASSAULT ON PRECINCT 13,1/19/2005,23549818,35252644,22276440,6.3,1387,NoSeq
ATL,3/31/2006,24112258,22779044,22996130,6,702,NoSeq
AVIATOR,12/17/2004,124678408,133657352,42285536,7.5,1049,NoSeq
BABEL,10/27/2006,39069292,22779044,27980976,7.5,470,NoSeq
BAD BOYS 2,7/18/2003,173044256,162297136,45920720,6.1,1074,NoSeq
BAD NEWS BEARS,7/22/2005,38623208,41128084,24300470,5.8,1149,Seq
BAD SANTA,11/26/2003,74981680,28714108,36845940,7.3,866,NoSeq
BARBERSHOP 2,2/6/2004,79114552,36452004,25799270,5.5,910,Seq
BARNYARD,8/4/2006,82730984,58086560,30731664,5.4,1820,NoSeq
BASIC,3/28/2003,33449826,62421972,31397874,6.3,1383,NoSeq
BATMAN BEGINS,6/15/2005,241297024,176263216,54846648,8.3,1310,Seq
BE COOL,3/4/2005,65860140,62279672,31265218,5.6,1678,NoSeq
BECAUSE OF WINN DIXIE,2/18/2005,38363152,16451234,18044536,6.1,793,NoSeq
BEERFEST,8/25/2006,21851006,19362186,22564010,6,916,NoSeq
BEING JULIA,10/15/2004,9403462,21871202,4293561,7.1,116,NoSeq
BENCHWARMERS,4/7/2006,68159176,37585420,27244304,5.4,2210,NoSeq
BEND IT LIKE BECKHAM,3/12/2003,40628524,7490637,20275280,6.7,284,NoSeq
BEWITCHED,6/24/2005,74398544,99882488,34576144,4.9,1541,NoSeq
BIG FISH,12/10/2003,83407856,87390760,50532968,8,770,NoSeq
BIG MOMMAS HOUSE 2,1/27/2006,79915688,45558088,21809792,3.9,888,Seq
BIKER BOYZ,1/31/2003,27561514,29962546,13807865,4.1,444,NoSeq
BLACK CHRISTMAS,12/25/2006,18534830,10250569,10276310,4.3,629,NoSeq
BLACK DAHLIA,9/15/2006,25677768,56947608,25017994,5.6,1294,NoSeq
BLADE TRINITY,12/8/2004,63683968,78979344,32412150,5.7,1227,Seq
